freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,F,Y20-64,NAT,RO	5.7 	4.8 	3.8 	3.4 	3.2 	4.6 	4.8 b	4.7 	4.8 	4.5 
A,PC,F,Y20-64,NAT,RS	18.8 	16.4 	14.4 	13.9 	11.3 	9.6 	12.2 b	10.0 	9.9 	8.8 
A,PC,F,Y20-64,NAT,SE	5.4 	4.7 	4.4 	4.1 b	4.4 	5.4 	6.1 b	5.3 	5.2 	5.8 
A,PC,F,Y20-64,NAT,SI	9.7 	8.1 	7.1 	5.4 	4.6 	5.1 	4.7 b	3.8 	3.1 	3.1 
A,PC,F,Y20-64,NAT,SK	12.7 	10.6 	8.2 	6.9 	5.8 	7.0 	6.9 b	6.2 	5.9 	5.8 
A,PC,F,Y20-64,NAT,UK	4.2 	3.9 	3.4 	3.3 	3.0 	: 	: 	: 	: 	: 
A,PC,F,Y20-64,NEU27_2020_FOR,AT	13.3 	14.1 	13.6 	13.0 	13.4 	15.6 	16.4 b	12.9 	12.7 	12.3 
A,PC,F,Y20-64,NEU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,BE	22.3 	26.4 	25.1 b	20.6 	20.4 	19.6 	25.5 b	20.7 	13.6 	14.1 
A,PC,F,Y20-64,NEU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,CH	15.5 	15.2 	14.8 	17.1 	14.4 	14.7 	15.2 b	12.9 	12.7 	13.1 
A,PC,F,Y20-64,NEU27_2020_FOR,CY	7.7 	8.0 	6.9 u	5.4 u	3.7 u	5.3 u	5.6 b	7.2 	6.8 	6.4 
A,PC,F,Y20-64,NEU27_2020_FOR,CZ	5.6 u	3.5 u	4.7 u	2.5 u	4.4 u	4.1 u	5.9 bu	3.4 u	4.9 	4.3 
A,PC,F,Y20-64,NEU27_2020_FOR,DE	10.7 	10.2 	8.6 	8.3 	7.9 	11.0 b	9.0 b	8.4 	8.9 	10.5 
A,PC,F,Y20-64,NEU27_2020_FOR,DK	17.3 	15.9 b	12.8 b	11.7 	10.5 	13.1 	11.1 b	10.6 	11.4 b	14.0 
A,PC,F,Y20-64,NEU27_2020_FOR,EE	11.0 	12.5 	9.8 	11.4 	9.8 	10.7 	12.1 b	8.9 	13.1 	15.7 
A,PC,F,Y20-64,NEU27_2020_FOR,EL	32.7 	34.4 	32.8 	35.5 	34.2 	37.2 	35.1 b	30.2 	25.4 	25.6 
A,PC,F,Y20-64,NEU27_2020_FOR,ES	31.6 	29.4 	26.7 	25.0 	24.7 	30.5 	27.7 bd	23.6 d	21.1 d	20.2 d
A,PC,F,Y20-64,NEU27_2020_FOR,EU27_2020	20.6 	20.2 	18.5 	17.4 	16.6 	19.1 	18.2 b	15.5 	14.3 	14.2 
A,PC,F,Y20-64,NEU27_2020_FOR,FI	26.3 	29.9 	24.7 	25.0 	16.8 u	20.2 	17.8 b	12.4 	21.3 	24.7 
A,PC,F,Y20-64,NEU27_2020_FOR,FR	23.7 	26.6 	25.8 	23.3 	20.6 	20.3 	18.2 bd	17.1 d	15.4 d	16.3 d
A,PC,F,Y20-64,NEU27_2020_FOR,HR	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,HU	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,IE	13.4 	10.8 	8.6 b	9.7 	8.0 u	9.7 u	7.7 bu	7.6 u	6.8 	7.6 
A,PC,F,Y20-64,NEU27_2020_FOR,IS	: u	: u	: u	: u	: u	: bu	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,IT	18.5 	18.8 	17.9 	17.0 b	16.8 	15.9 	18.2 b	15.4 	14.0 	12.0 
A,PC,F,Y20-64,NEU27_2020_FOR,LT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	13.1 u
A,PC,F,Y20-64,NEU27_2020_FOR,LU	16.9 bu	14.4 u	18.6 	18.2 	13.6 	24.1 	15.7 b	8.6 	: u	15.8 u
A,PC,F,Y20-64,NEU27_2020_FOR,LV	12.4 	13.1 	9.7 	10.0 	6.6 	11.2 	12.2 b	10.2 	6.3 u	6.0 u
A,PC,F,Y20-64,NEU27_2020_FOR,ME	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,F,Y20-64,NEU27_2020_FOR,MK	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,F,Y20-64,NEU27_2020_FOR,MT	: u	: u	4.2 u	4.2 u	11.2 	9.0 	5.7 b	4.6 u	3.8 u	5.4 
A,PC,F,Y20-64,NEU27_2020_FOR,NL	17.0 	15.6 	12.1 	10.5 	9.8 	10.8 	15.0 b	10.3 	11.7 	10.8 
